EventID,EventName,IsAnytime,EventDay,StartTime,EndTime,NodeName,SceneID,PositionX,PositionY,TimeTaken,AutoTrigger,MaxTriggerCount,ExhaustedInkNode,SummonNPCs,DespawnAfterEvent
10000,Liel,False,1,19,21,Liel_Day1_003,1,7.43,2.00,1,False,2,,,True
10001,Liel,False,1,14,17,Liel_Day1_002,1,18.00,2.00,1,False,3,,,True
10002,Liel,False,1,8,11,Liel_Day1_001,2,2.00,0.00,1,False,3,,,True
10003,Liel,False,2,7,12,Liel_Day2_001,2,22.00,0.00,0,False,5,,,True
10004,Liel,False,3,0,3,Liel_Day3_001,2,12.00,0.00,1,True,3,,,True
10005,Liel,False,4,19,23,Liel_Day4_003,2,7.00,0.00,2,False,2,Liel_Day4_Exhausted,,True
10006,Liel,False,4,13,16,Liel_Day4_002,2,7.00,0.00,1,True,1,,,True
10007,Liel,False,4,8,12,Liel_Day4_001,2,7.00,0.00,1,False,3,Liel_Day4_Exhausted,,True
90000,Training,True,0,0,24,training,1,4.00,2.00,2,False,0,,,True
90001,Practice,True,0,0,24,practice,1,-3.00,0.00,1,False,0,,,True
90002,Sleep,True,0,0,24,sleep,1,-8.00,0.00,8,False,0,,,True
