EventID,EventName,IsAnytime,EventDay,StartTime,EndTime,NodeName,SceneID,PositionX,PositionY,TimeTaken,AutoTrigger,MaxTriggerCount,ExhaustedInkNode,SummonNPCs,DespawnAfterEvent,TriggerZoneW,TriggerZoneH,TriggerZoneOffsetX,TriggerZoneOffsetY
10000,Liel,FALSE,1,19,21,Liel_Day1_003,1,7,2,1,FALSE,2,,,TRUE,,,,
10001,Liel,FALSE,1,14,17,Liel_Day1_002,1,18,2,1,FALSE,3,,,TRUE,,,,
10002,Liel,FALSE,1,8,11,Liel_Day1_001,2,2,0,1,FALSE,3,,,TRUE,,,,
10003,Liel,FALSE,2,7,12,Liel_Day2_001,2,22,0,0,FALSE,5,,,TRUE,,,,
10004,Liel,FALSE,3,0,3,Liel_Day3_001,2,12,0,1,TRUE,3,,,TRUE,,,,
10005,Liel,FALSE,4,19,23,Liel_Day4_003,2,7,0,2,FALSE,2,Liel_Day4_Exhausted,,TRUE,,,,
10006,Liel,FALSE,4,13,16,Liel_Day4_002,2,7,0,1,TRUE,1,,,TRUE,,,,
10007,Liel,FALSE,4,8,12,Liel_Day4_001,2,7,0,1,FALSE,3,Liel_Day4_Exhausted,,TRUE,,,,
50000,Cutscene,FALSE,4,17,18,Cutscene_Day4_001,1,27,2,1,TRUE,1,,Liel,TRUE,,,,
90000,Training,TRUE,0,0,24,training,1,4,2,2,FALSE,0,,,TRUE,,,,
90001,Practice,TRUE,0,0,24,practice,1,-3,0,1,FALSE,0,,,TRUE,,,,
90002,Sleep,TRUE,0,0,24,sleep,1,-8,0,8,FALSE,0,,,TRUE,,,,
