Key,KO,EN,JP
hud_day_format,Day {0},Day {0},
hud_time_format,{0} {1}:00,{0} {1}:00,
hud_time_am,AM,AM,
hud_time_pm,PM,PM,
hud_time_format_24,{0}:00,{0}:00,
notify_mana_short,마나가 부족합니다,,
notify_anchor_air,공중에서는 닻을 내릴 수 없습니다,,
notify_anchor_max,시간의 닻은 최대 {0}개까지 내릴 수 있습니다,,
notify_anchor_mana,마나가 부족해 닻을 내릴 수 없습니다,,
notify_anchor_battle,전투 중에는 닻을 내릴 수 없습니다,,
popup_anchor_confirm,이곳에 시간의 닻을 내리시겠습니까?,,
popup_anchor_cost,마나 {0} 소모 · 내린 닻 {1}/{2},,
liel_family_stage1,가족: 여동생이 있다.,Has a younger sister.,
liel_family_stage2,가족: 여동생이 있었다. 하지만 실종되었다.,,
liel_family_stage3,가족: 여동생의 이름은 홍길동. 하지만 실종되었다.,,
liel_likes_apple_text,리엘은 사과를 좋아함.,Liel's favorite fruit: apple,
liel_monster_incident_text,6년 전 마물습격사건 발생,,
liel_knight_reason_text,기사단에 들어간 이유: '지키고 싶은 것이 있다',,
liel_hates_rain_text,비 오는 날을 싫어함,,
liel_star_hobby_text,별 보는 것을 좋아함,,
